952c6f88-0b2b-4002-80a8-b4d46c7a4032	89
34499625-70fa-4a0e-9bc1-5ed4068d2a52	73
34499625-70fa-4a0e-9bc1-5ed4068d2a52	74
952c6f88-0b2b-4002-80a8-b4d46c7a4032	74
952c6f88-0b2b-4002-80a8-b4d46c7a4032	82
34499625-70fa-4a0e-9bc1-5ed4068d2a52	18
952c6f88-0b2b-4002-80a8-b4d46c7a4032	18
952c6f88-0b2b-4002-80a8-b4d46c7a4032	78
952c6f88-0b2b-4002-80a8-b4d46c7a4032	79
952c6f88-0b2b-4002-80a8-b4d46c7a4032	76
952c6f88-0b2b-4002-80a8-b4d46c7a4032	81
34499625-70fa-4a0e-9bc1-5ed4068d2a52	81
34499625-70fa-4a0e-9bc1-5ed4068d2a52	79
34499625-70fa-4a0e-9bc1-5ed4068d2a52	76
952c6f88-0b2b-4002-80a8-b4d46c7a4032	83
952c6f88-0b2b-4002-80a8-b4d46c7a4032	84
952c6f88-0b2b-4002-80a8-b4d46c7a4032	85
952c6f88-0b2b-4002-80a8-b4d46c7a4032	86
952c6f88-0b2b-4002-80a8-b4d46c7a4032	87
952c6f88-0b2b-4002-80a8-b4d46c7a4032	88
\.


